法令名	法令番号	e-Gov法令ID	取得元	e-Govでの表示
不動産登記令		416CO0000000379	対応表	https://laws.e-gov.go.jp/law/416CO0000000379
不動産登記法	平成十六年法律第百二十三号	416AC0000000123	対応表	https://laws.e-gov.go.jp/law/416AC0000000123
小型船舶の登録等に関する法律	平成十三年法律第百二号	413AC0000000102	対応表	https://laws.e-gov.go.jp/law/413AC0000000102
日本電信電話株式会社等に関する法律	昭和五十九年法律第八十五号	359AC0000000085	対応表	https://laws.e-gov.go.jp/law/359AC0000000085
株式等の振替に関する法律	平成十三年法律第七十五号	413AC0000000075	法令番号から組み立て（要確認）	https://laws.e-gov.go.jp/law/413AC0000000075
民事保全法		401AC0000000091	対応表	https://laws.e-gov.go.jp/law/401AC0000000091
民事執行法		354AC0000000004	対応表	https://laws.e-gov.go.jp/law/354AC0000000004
民事訴訟法		408AC0000000109	対応表	https://laws.e-gov.go.jp/law/408AC0000000109
船舶登記令		417CO0000000011	対応表	https://laws.e-gov.go.jp/law/417CO0000000011
電子記録債権法	平成十九年法律第百二号	419AC0000000102	対応表	https://laws.e-gov.go.jp/law/419AC0000000102
